,text_id_kaggle,full_text,gender,grade,race_ethnicity,num_words,num_words2,num_words3,num_sent,num_para,num_word_div_para,MTLD,TTR,Type,Token,task,SES,prompt,Overall,Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions,set
0,59ADAA4D04E5,People who value self they have defrine indidual to follow yea people should make theri decions becuse their odols and they go to new live they shold experts from a position odold have they problems which they can t do obothev they live i shold be respsbel for my self good friday waste my and parens time becuse is no good ifd you live weth your mother then you need follo ther rules bat if odeol what to live he can go onwer becuse he can desede take a position on thise people relince weith they problems if you are 21 then you are odold you can do aththing you whato                                                                                                                                                                                             ,Male,12,Asian/Pacific Islander,191,111,111,1,1,111.0,40.06007752,64.86486486,72,111,Independent,Not economically disadvantaged,Self-reliance,1.0,1.0,1.5,1.5,2.0,1.5,1.0,train
1,CA3EB3AA11FC,"yes, I am agree with that ..

Because it's true the can show the the act of our felling in this three words ..

1.. be anxious

2.. Felling 3.. not to Belief the are self

...

1.. Be anxious .

in the world 99% of population the have a lot of staff going on in the are idea or concept , to how to do the are work , how to do the are staff , and how to do the are poraplem self .

,, and the have lot of pressures on the thought

. an effect feeling or image retained after an experience . A mark produced on a surface by pressurre and the can show the felling thaey have . the did not seeying the are felling cuz the are sedition the are fell and the don't want to tell anyone and the are worry about it .

that why the can not change they are are life .

2. Felling. .

All the copies of the a pubilcition printed at one time from the same set of type.

some people did not showing the are felling . the are state of being withe the are self and the can exp lean what the have wane what the have need to do in the live the are confuse for anything and the are scyer for that to tell anyone.

same time the are thinks if the do sorting wrong it,s never gonna right and never gonna right.

3 . Not to Belief the are self.

sometime the not blivet or respect the are self and the are urgent to someone else to do the are work and the can impressions the are felling. some time the sending a person to do somting for it .

like they are sending the a person to giving for something the are need it cuz the shameful to to something by the are self . and the are can not doing the staff the .

In the life everything in impossible we can do anything in live we can do the best we can go the way we want to go. over time everything is going to change the live , the friends, the staff , the feeling . the every secant . don't be shay for samthin you really when it or need it you can not Chang you can not be the beast you never be porfect in the live . be porfect in live if you not make your miss tikesa you can not be perfect in the feucher . if you take the right way you you be the best in the all live thake the good posittion and do good live witout the any impressions fell ......  ",Female,11,White,396,441,462,26,18,25.66666667,20.58536486,36.28117914,160,441,Independent,Not economically disadvantaged,First impressions,1.0,1.5,1.5,1.5,2.0,1.0,2.0,train
2,1CE5DBCEF2CE,allow students to bring phones to school and wen the students jots phones are lunch periods and other free times as long as the phones are turned off during class time picas if the tilous abaute thephones dei gana tec avei and the phones tey iosem olote in school and tes mait get in a crach and dai be ded and if di don't tecst in the care tea uerent get in a crech nou day are happy but and picas in the story ter sade. and tei are neve tescin in the care. do not allow students to have phones at school at all.,Female,8,Hispanic/Latino,105,106,105,3,1,105.0,25.54809843,63.20754717,67,106,Independent,Economically disadvantaged,Cell phones at school,1.5,1.5,1.5,1.5,1.0,2.0,1.0,train
3,4751F39ECBC5,"thi don't really select a work in wat iam interest wight now but i think i can fget in the technology business because i is fun i like, and is interesting if i had a job i had to like it and thats why i pick this type of biseness and i think that position fo what the manger can give to me is like the guy who makes works from the computer like a graphics work like to create games because thats what i like and a'im good doing it so thats one of my options what i can get for work in a company of thechnology, If i get in a technologi company i wish it canbe about video games like i wish i can be like a graphic desainer so i can create characters of a videogame and olso i can money in the job that i like like oing what i like the most. thats the bsusiness i want to geot into it.",Male,10,Hispanic/Latino,155,169,167,2,1,167.0,30.16,49.70414201,84,169,Independent,Economically disadvantaged,Internships and shadowing,1.5,1.5,1.5,1.5,1.0,1.5,1.0,train
4,7DC02C918305,"It has been said that a positive is the key to success in your life.

be positive in your decisions is the most important for any goals or dreams that you want to do, its important make sure of each thing before do it because sometimes just take decisions for other people say and this do that dont believe in yourself, however always you have to think about what i want to do? or what i want to be? and think about the achieve for you future and believe in yourself, be positive is the begin to carry up big dreams in your life.

for example when i start the school i was so positive but same time negative because i dont know anyone, the language also but always you have one reason to do something and i have one reason thats my son, i was positive about what i want and what are my goals,the time past very fast; i found people important in my life, my friends they always are positive and this help yourself. When i talk with my friends i feel positive also because they make me feel like that, so now it's my last year and i feel good and this is the point to make up my dreams and goals.

Never give up everything depends on your decisions, if you are negative or not believe in yourself you never to be able for your goals or other things like work, school and support other people it's important be positive, no matter what the other people say, no matter how many times you try, the key is achieve and think about your future.

The life present always new things,challenge,obstacle you has to be prepared for everything and give always the best.

For finally, the best way to achieve your goals in the life is always be positive, strong, believe in yourself and never give up. No matter the new change in your life just dont be scary and put your life in God's hands.",Female,12,Hispanic/Latino,320,345,339,10,6,56.5,49.42857143,37.39130435,129,345,Independent,Not economically disadvantaged,Positive attitudes,2.0,2.5,2.5,3.0,3.0,2.0,2.0,train
5,C6DDE5F881C2,"The school cafeteri should change the food to healthier food. they should not give to the student everyday chess pizza, MC checken and rich, beacuse those food are not healty, and Thoes food are not good for student health. the school cafeteri should give to the student vigetable food beens, fruite, mcgrni, fish, and the food that dose't have oil in it , beacuse if the school cafeteri keep giving the same food to the student, they will not take those food beacuse they ate everyday the same food and the student will not take the lunch, and then the school have to throw those food in trush beacuse the student do not buy those food.

and the school will not make any provite from those food the school will lose a lot of money. So I ruquset to the principal to bring those change to school cafeteri, so you can make money and the student will be also happy from school cafeteri and they will buy the lunch.

Thank you",Male,11,Hispanic/Latino,164,171,171,6,3,57.0,23.7814354,42.10526316,72,171,Independent,Not economically disadvantaged,Lunch menus,2.0,2.5,2.5,2.5,2.5,2.5,2.0,train
6,757C5E55BA96,"I think it is a good idea that people should ask for others peoples advice because they can learn extra info from them. Because if you tell multiple people for an advice they can get more opinions from people. They can also get help someone make a better choice. You might learn different opnions from alot of different people and they can give you alot of advice on what not to do and what you should do. Its smart because if people ask for other peoples opinions they will get more ideas and facts and what they should do next.

The second reasons why I think people should ask multiple questions to a variet of different people is because so they can get alot of responses and more answers to their questions. The more people ask for advice they will get multiple opinions. If I dont ask questions iill never get any responses or advices. So thast why I think people should ask for others peoples advice all the time.                                                                                                                                                                                              ",Male,8,White,260,170,170,9,2,85.0,46.79156539,44.11764706,75,170,Independent,Not economically disadvantaged,Trying something beyond what you have mastered,2.5,3.0,3.5,3.0,3.0,3.5,2.5,train
7,DE54F3466948,"When I first get interest in the medicine area, what I what was help people, be like the doctors that helped my little brother; learn how someone can save lives. Today Mr. can help me to learn more to help others, to help who needs. It's necessary start to think in the future doctors, start to pass the learning to the next generation, the theories, and the grow of the modern medicine.

This partnership can teach me what the doctor learn all this years. The learn of the doctors can help me to learn why the things are doing this way, for example em de patient stop to breathe the doctor has to put a tub to the patient start to breathe; and if this don't work the doctor has to do a mini-surgery. The reason why when some one brake a leg the time of the recuperation is different; the reason why when a car chars happen the patient has to went to a T.C. The reason why cancer happen, if it is in our DNA or can happen with anyone.

This partnership can help me to learn the theories. The theories of the causes for the repenting blinding, or way some patients wake up to the coma and other don't. How will be possible in the future faith with the cancer and the autism to help the people that have it; how its possible someone o broke the cervical walk again. If it's possible create a substitute to the glasses, what will be the percentage of people who have obesity in the future.

This partnership can help me to learn the grow of the modern medicine. Talk about how the treatment to the cancer cell can be done with radiation, and what can be done to change this process because of the negative effects in the humans body. Talk about the big number of surgery in the kids, and how it's possible do something do the recuperation be less painful to the kid and to the parents. Talk about how is possible prepared the kids for a emergency and how act in one.

Some may say that learn knew things is boring. Yes, some times it's, but if you learn knew things this can help in your future, and prepared you to possibility that you haven't imagined. Some may think that teenage are just kids and is not necessary think about the future. Yes we are kids, but in other hand we are the future and if we don't think about it who will think for us?

It's necessary start to think in the future doctors, the grow of the modern medicine start to pass the learning to the next generation, the theories, and start to pass the learning to the next generation. So Mr. I really hope that you chose me and gave me a chance to me for prove myself, and learn many knew things in this process that will help me to grow as a person, and as a future provisional that can learn knew things every moment in the medicine area, the future is coming and we are the chose that you want to make.",Female,10,White,483,542,531,22,6,88.5,38.72146761,33.57933579,182,542,Independent,Not economically disadvantaged,Internships and shadowing,2.5,2.5,2.5,3.0,2.5,2.0,3.0,train
8,CD81F6CCE819,"I believe that self-esteem comes from achievement because the more a student work hard, the more achievements he/she get so when they receive more awards and/or achievements, it makes them to proud of their selves and build true self-esteem.

There are so much students who works hard, complete their work on time and also have a part time job after school, but they don't know how to build their true self-esteem so what they need to work is that they must be self confident because they can't build their self-esteem unless they're self confident.

Also, there are much more students who go to school and don't have a job or anything after school or during weekend and they're self confident, but don't know how to build their self-esteem.

So, students should try their best to receive achievements because it encourages and/or makes them to build their self-esteem.

Self-esteem is something that students can build it by theirsleves if they work hard, be punctual at school and have a checklist or a plan for what they should do first as a calender.

Students aren't working hard nowadays I have no idea that it's because technology makes them lazy or they don't want to plus they're not trying to achieve something at school.

I'm sick and tired of seeing these kind of students because if they just open their school backpack and at least study for two hours at home, they will receive a lot of achievements at school so that's how they can achieve their goals.

So, when it comes to build their true self-esteem, they need to work on achievements and become self confident first and then best version of their selves.

Teachers also have a role in this issue because I think students spend more time with their teacher compare to their parents in a week.

I don't mean teachers discuss with them to build either their self-esteem or self confidence unless the student is smart and curious to ask his/her teachers and peers about becoming like a person who has self confidence and already built his/her self-esteem.

But, at least they show students the right way to get achievements or achieve their goals so that would be enough, and students will start thinking about how to get achievements and then they'll probably start working on their self confidence and self-esteem.

In addition, when I came to the united states it was 2017, I didn't know any English and I didn't have any friends at school so everybody knows how hard it is to go to school and can not speak with anyone or don't have friends plus I was a shy guy.

When somebody was trying to talk to me, my face was becoming red and start blushing so it's all because I didn't have self confidence.

So, I am still trying my very best to learn the language and make some friends at school so I can play or do my work with them together.

That being said, now I can speak, write and read very well and I became so much more confidence, best version of myself, have a lot of friends, and so happy to attend school.

Overall, being self confident and working hard for achievements are like a key for building students self-esteem which comes from achievements.

Students should focus at school or wherever else they study so they get achievements which helps them to build their self-esteem.

Students also should be encouraged by their parents to build their self-esteem as well as by their selves unless they're self confident in life.                                                                            ",Male,11,Asian/Pacific Islander,593,637,598,18,18,33.22222222,53.93314789,32.96703297,210,637,Independent,Economically disadvantaged,Praising student work,3.0,3.0,2.5,3.5,3.5,2.5,4.0,train
9,DC56EF65D59D,"""Success consists of going from failure to failure without loss of enthusiasm""

I agree with Churchill's statement about the important role that failure plays in the pursuit of success, the life consists in make mistakes, nobody is perfect, everyone in any moment of our life we failure, but the purpose it's stand up with faith and enthusiasm, and doesn't give up; failure is not something bad like many people think, that's the reason why too much people feel lees than other's, when they make failure's in they life, so we resolve our mistakes with sadness, without enthusiasm, or fear of what people can say, believe in yourself is the key of an better life, and failure in our life it's just the teacher of our own future.

Churchill's statement bring a beautiful statement of what successful can be signify in our life, so success it's something what everyone can obtain in any situation, however, it's the most wonderful opportunity for our own willingness,while, in my other hand failure means practice of our own future, because failure it's just the perfect manner to learn, to be better with the past of the time. How your going to teach your children's, if you didn't make mistakes? Failure make people with experience, ""if you don't make mistakes,you don't learn"" and you can't teach other people, when they are in warning to make the same mistakes that you did before, this is a great example of family, so you need to be the example of your children's helping to show the danger, but as well the wonderful manner to see the failure with enthusiasm to commence again.

The failure make better people? absolutely, because mistakes sample the things what we didn't wanted to see before; failure to failure probably it's tired, but have a great recompense; failure prepare our own life, for example if we failure the test, probably next time we are going to study better than the first time, but we get a great experience to see with better perspective than before. The point of failure is what we need to live failure in our own life, for understand and see with different perspective than before, failure create a maturity person with experience, and big knowledge;however this great statement it's a example of persevered,progress, and growth in our own life to get experience, maturity, productivity, and fortress.

My conclusion is basically in the important role that failure plays in the pursuit of success, so make mistakes is no bad it's part of life, just don't give up and show that we can be better, we can do better than before;failure is the teacher of your future, don't be fear on what people can be say about your decision's, or you manner of see your failure, it's fine make mistakes ""we learn something new"",but it's important the manner that we see it, with enthusiasm or sadness?,because we continue,we start again,and we can get better results. Failure it's the experience of the teacher, of a persevering, progressing, and productivity person,life it's not perfect, but depends the perspective in what way do you see life, so"" we need to make mistakes to be the teacher of the tomorrow"".",Female,12,Hispanic/Latino,462,571,533,9,5,106.6,59.12660944,30.82311734,176,571,Independent,Not economically disadvantaged,Success and failure,3.0,3.5,2.5,3.5,3.0,3.0,3.0,train
